Document ID,Required,Found,Resolved path,Notes
MAC-CMP-001_Configuration_Management_Plan.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-CMP-001_Configuration_Management_Plan.md,
MAC-IT-301_System_Description_and_Architecture.md,Y,Y,/Users/patrick/cui-pilot/TRUST_CODEX/cmmc-governing-records-bundle/docs/01-system-scope/MAC-IT-301_System_Description_and_Architecture.md,
MAC-IT-307_System_Security_Plan.md,Y,Y,/Users/patrick/cui-pilot/TRUST_CODEX/cmmc-governing-records-bundle/docs/01-system-scope/MAC-IT-304_System_Security_Plan.md,alias: MAC-IT-304_System_Security_Plan.md
MAC-IT-308_System_Boundary_and_Scope.md,Y,Y,/Users/patrick/cui-pilot/TRUST_CODEX/cmmc-governing-records-bundle/docs/01-system-scope/MAC-IT-105_System_Boundary.md,alias: MAC-IT-105_System_Boundary.md
MAC-POL-001_Record_Retention_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-227_Record_Retention_Policy.md,alias: MAC-POL-227_Record_Retention_Policy.md
MAC-POL-210_Access_Control_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-210_Access_Control_Policy.md,
MAC-POL-211_Identification_and_Authentication_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-211_Identification_and_Authentication_Policy.md,
MAC-POL-212_Physical_Security_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-212_Physical_Security_Policy.md,
MAC-POL-213_Media_Handling_and_Data_Disposal_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-213_Media_Handling_Policy.md,alias: MAC-POL-213_Media_Handling_Policy.md
MAC-POL-214_System_Integrity_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-214_System_Integrity_Policy.md,
MAC-POL-215_Incident_Response_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-215_Incident_Response_Policy.md,
MAC-POL-218_Audit_and_Accountability_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-218_Audit_and_Accountability_Policy.md,
MAC-POL-219_Awareness_and_Training_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-219_Awareness_and_Training_Policy.md,
MAC-POL-220_Configuration_Management_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-220_Configuration_Management_Policy.md,
MAC-POL-221_Maintenance_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-221_Maintenance_Policy.md,
MAC-POL-222_Personnel_Security_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-222_Personnel_Security_Policy.md,
MAC-POL-223_Risk_Assessment_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-223_Risk_Assessment_Policy.md,
MAC-POL-224_Security_Assessment_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-224_Security_Assessment_Policy.md,
MAC-POL-225_System_and_Communications_Protection_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-225_System_and_Communications_Protection_Policy.md,
MAC-POL-226_Software_Restriction_Policy.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-226_Software_Restriction_Policy.md,
MAC-POL-228_Authentication_Feedback_Obscure_Policy.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-POL-228_Authentication_Feedback_Obscure_Policy.md,
MAC-SEC-108_MFA_Implementation_Guide.md,Y,Y,/Users/patrick/cui-pilot/TRUST_CODEX/cmmc-governing-records-bundle/docs/06-supporting-documents/MAC-SEC-108_MFA_Implementation_Guide.md,
MAC-SEC-109_Audit_Logging_Configuration_Guide.md,Y,Y,/Users/patrick/cui-pilot/TRUST_CODEX/cmmc-governing-records-bundle/docs/06-supporting-documents/MAC-SEC-109_Audit_Logging_Configuration_Guide.md,
MAC-SOP-221_User_Account_Provisioning_and_Deprovisioning_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-221_User_Account_Provisioning_and_Deprovisioning_Procedure.md,
MAC-SOP-224_Physical_Environment_and_Remote_Work_Controls.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-224_Physical_Environment_and_Remote_Work_Controls.md,
MAC-SOP-225_Configuration_Change_Awareness_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-225_Configuration_Change_Awareness_Procedure.md,
MAC-SOP-226_Audit_Log_Review_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-226_Audit_Log_Review_Procedure.md,
MAC-SOP-227_Security_Awareness_Training_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-227_Security_Awareness_Training_Procedure.md,
MAC-SOP-230_Vulnerability_Scanning_and_Remediation_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-230_Vulnerability_Scanning_Procedure.md,alias: MAC-SOP-230_Vulnerability_Scanning_Procedure.md
MAC-SOP-231_POAM_Process_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-231_POA&M_Process_Procedure.md,alias: MAC-SOP-231_POA&M_Process_Procedure.md
