Document ID (basename),Governance Document name(s),Controls Mapped,Path in matrix,Status
MAC-CMP-001_Configuration_Management_Plan.md,Procedures for Configuration Management,3.4.1;3.4.3,compliance/cmmc/level2/02-policies-and-procedures/MAC-CMP-001_Configuration_Management_Plan.md,Existing
MAC-IT-301_System_Description_and_Architecture.md,Network/security architecture documentation and procedures,3.13.5,compliance/cmmc/level2/01-system-scope/MAC-IT-301_System_Description_and_Architecture.md,Existing
MAC-IT-307_System_Security_Plan.md,System Security Plan (SSP),3.12.4,compliance/cmmc/level2/01-system-security-plan/MAC-IT-307_System_Security_Plan.md,Existing
MAC-IT-308_System_Boundary_and_Scope.md,System Boundary and Scope Statement,3.12.4,compliance/cmmc/level2/01-system-security-plan/MAC-IT-308_System_Boundary_and_Scope.md,Existing
MAC-POL-001_Record_Retention_Policy.md,Record Retention Policy,3.3.8;3.3.9,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-001_Record_Retention_Policy.md,Existing
MAC-POL-210_Access_Control_Policy.md,Access Control Policy,3.1.1;3.1.2;3.1.4,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-210_Access_Control_Policy.md,Existing
MAC-POL-211_Identification_and_Authentication_Policy.md,Identification and Authentication Policy | Procedures for Authenticator Management,3.5.1;3.5.3;3.5.4;3.5.7,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-211_Identification_and_Authentication_Policy.md,Existing
MAC-POL-212_Physical_Security_Policy.md,Physical Security Policy,3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-212_Physical_Security_Policy.md,Existing
MAC-POL-213_Media_Handling_and_Data_Disposal_Policy.md,Media Handling & Data Disposal Policy,3.8.1;3.8.2;3.8.3;3.8.4;3.8.5;3.8.6;3.8.7;3.8.8;3.8.9,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-213_Media_Handling_and_Data_Disposal_Policy.md,Existing
MAC-POL-214_System_Integrity_Policy.md,Procedures for Malicious Code Protection,3.11.3;3.13.13;3.14.2,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-214_System_Integrity_Policy.md,Existing
MAC-POL-215_Incident_Response_Policy.md,Incident Response Policy,3.6.1,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-215_Incident_Response_Policy.md,Existing
MAC-POL-218_Audit_and_Accountability_Policy.md,Audit and Accountability Policy,3.3.1,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-218_Audit_and_Accountability_Policy.md,Existing
MAC-POL-219_Awareness_and_Training_Policy.md,Awareness and Training Policy,3.2.1,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-219_Awareness_and_Training_Policy.md,Existing
MAC-POL-220_Configuration_Management_Policy.md,Configuration Management Policy,3.4.1;3.4.3,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-220_Configuration_Management_Policy.md,Existing
MAC-POL-221_Maintenance_Policy.md,Maintenance Policy,3.7.1,compliance/cmmc/level2/02-policies-and-procedures/MAC-POL-221_Maintenance_Policy.md,Existing
